subj_idx,response,rt_Org,rt,group
15,0,0,0,50
15,1,2130,2.13,22
15,0,1115,1.115,22
15,1,1627,1.627,22
15,1,795,0.795,22
15,1,1019,1.019,22
15,1,1324,1.324,22
15,0,0,0,40
15,1,4244,4.244,11
15,1,1797,1.797,11
15,1,3021,3.021,11
15,0,0,0,11
15,1,2525,2.525,11
15,1,1741,1.741,11
15,0,0,0,40
15,1,1654,1.654,11
15,0,2654,2.654,11
15,1,1823,1.823,11
15,1,2423,2.423,11
15,0,1839,1.839,11
15,0,1848,1.848,11
15,0,0,0,50
15,1,1112,1.112,22
15,1,1105,1.105,22
15,0,0,0,22
15,1,1337,1.337,22
15,0,0,0,22
15,1,210,0.21,22
15,0,0,0,50
15,1,874,0.874,22
15,1,899,0.899,22
15,1,1307,1.307,22
15,1,2499,2.499,22
15,1,1468,1.468,22
15,1,1964,1.964,22
15,0,0,0,40
15,1,1725,1.725,11
15,0,0,0,11
15,0,1528,1.528,11
15,1,2161,2.161,11
15,0,3729,3.729,11
15,0,2362,2.362,11
15,0,0,0,40
15,1,2307,2.307,11
15,1,2772,2.772,11
15,0,3709,3.709,11
15,1,2861,2.861,11
15,1,1774,1.774,11
15,1,3614,3.614,11
15,0,0,0,50
15,1,1384,1.384,22
15,1,1344,1.344,22
15,1,865,0.865,22
15,1,1073,1.073,22
15,1,866,0.866,22
15,1,1043,1.043,22
15,0,0,0,50
15,0,971,0.971,22
15,1,4548,4.548,22
15,1,988,0.988,22
15,1,1284,1.284,22
15,0,0,0,22
15,0,0,0,22
15,0,0,0,40
15,1,3014,3.014,11
15,1,1477,1.477,11
15,0,0,0,11
15,0,0,0,11
15,0,430,0.43,11
15,0,2823,2.823,11
16,0,0,0,50
16,0,1992,1.992,22
16,1,3080,3.08,22
16,1,3393,3.393,22
16,1,1410,1.41,22
16,1,2098,2.098,22
16,0,0,0,22
16,0,0,0,50
16,1,1860,1.86,22
16,0,1605,1.605,22
16,1,1437,1.437,22
16,1,1334,1.334,22
16,1,1471,1.471,22
16,1,1407,1.407,22
16,0,0,0,50
16,1,1800,1.8,22
16,1,2673,2.673,22
16,1,2193,2.193,22
16,1,1377,1.377,22
16,1,3346,3.346,22
16,1,3362,3.362,22
16,0,0,0,40
16,1,3843,3.843,11
16,1,2555,2.555,11
16,1,4163,4.163,11
16,1,2972,2.972,11
16,0,0,0,11
16,1,3068,3.068,11
16,0,0,0,40
16,1,2524,2.524,11
16,0,0,0,11
16,0,2973,2.973,11
16,1,2933,2.933,11
16,1,2982,2.982,11
16,1,2950,2.95,11
16,0,0,0,50
16,1,2270,2.27,22
16,1,1527,1.527,22
16,1,1911,1.911,22
16,1,1527,1.527,22
16,1,1840,1.84,22
16,1,1328,1.328,22
16,0,0,0,50
16,1,2313,2.313,22
16,1,1497,1.497,22
16,1,2329,2.329,22
16,1,3386,3.386,22
16,1,1834,1.834,22
16,1,1530,1.53,22
16,0,0,0,40
16,1,3403,3.403,11
16,1,2558,2.558,11
16,1,3575,3.575,11
16,1,2615,2.615,11
16,1,2552,2.552,11
16,1,3816,3.816,11
16,0,0,0,40
16,0,3033,3.033,11
16,1,2738,2.738,11
16,1,3211,3.211,11
16,1,3475,3.475,11
16,1,3524,3.524,11
16,1,4172,4.172,11
16,0,0,0,40
16,1,4254,4.254,11
16,1,3366,3.366,11
16,1,3263,3.263,11
16,1,3256,3.256,11
16,1,2568,2.568,11
16,1,3833,3.833,11
17,0,0,0,40
17,1,3080,3.08,11
17,0,1833,1.833,11
17,0,2393,2.393,11
17,0,4305,4.305,11
17,0,2610,2.61,11
17,1,2569,2.569,11
17,0,0,0,40
17,0,2962,2.962,11
17,1,3098,3.098,11
17,0,1722,1.722,11
17,1,3819,3.819,11
17,1,2211,2.211,11
17,1,2427,2.427,11
17,0,0,0,40
17,1,1860,1.86,11
17,1,2892,2.892,11
17,1,2757,2.757,11
17,1,2221,2.221,11
17,1,2845,2.845,11
17,0,4121,4.121,11
17,0,0,0,50
17,1,1602,1.602,22
17,0,2803,2.803,22
17,1,1107,1.107,22
17,0,0,0,22
17,1,2180,2.18,22
17,1,2909,2.909,22
17,0,0,0,50
17,0,2006,2.006,22
17,1,1639,1.639,22
17,1,2599,2.599,22
17,0,1696,1.696,22
17,0,1688,1.688,22
17,1,1897,1.897,22
17,0,0,0,40
17,0,3835,3.835,11
17,0,0,0,11
17,0,1516,1.516,11
17,0,2429,2.429,11
17,1,2116,2.116,11
17,1,4277,4.277,11
17,0,0,0,50
17,0,2046,2.046,22
17,0,0,0,22
17,1,1598,1.598,22
17,1,1559,1.559,22
17,0,0,0,22
17,0,0,0,22
17,0,0,0,50
17,1,2112,2.112,22
17,1,1136,1.136,22
17,1,2993,2.993,22
17,1,1641,1.641,22
17,1,1049,1.049,22
17,1,1458,1.458,22
17,0,0,0,50
17,1,1850,1.85,22
17,1,1227,1.227,22
17,0,0,0,22
17,1,2114,2.114,22
17,0,0,0,22
17,1,1571,1.571,22
17,0,4483,4.483,40
17,1,3060,3.06,11
17,0,0,0,11
17,1,2292,2.292,11
17,1,2533,2.533,11
17,1,2093,2.093,11
17,0,3173,3.173,11
19,0,0,0,40
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,40
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,50
19,0,2714,2.714,22
19,1,1250,1.25,22
19,1,1331,1.331,22
19,1,2070,2.07,22
19,0,0,0,22
19,0,0,0,22
19,0,0,0,40
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,50
19,1,1308,1.308,22
19,0,1877,1.877,22
19,1,1453,1.453,22
19,1,1710,1.71,22
19,1,846,0.846,22
19,1,1951,1.951,22
19,0,0,0,40
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,40
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,11
19,0,0,0,50
19,1,1188,1.188,22
19,1,1077,1.077,22
19,0,0,0,22
19,1,1485,1.485,22
19,1,1965,1.965,22
19,1,1342,1.342,22
19,0,0,0,50
19,1,1237,1.237,22
19,0,1477,1.477,22
19,1,2239,2.239,22
19,0,0,0,22
19,1,1736,1.736,22
19,1,1744,1.744,22
19,0,0,0,50
19,1,1353,1.353,22
19,1,1073,1.073,22
19,1,1489,1.489,22
19,1,2026,2.026,22
19,1,2714,2.714,22
19,1,1162,1.162,22
24,0,0,0,50
24,1,4305,4.305,22
24,1,1946,1.946,22
24,0,0,0,22
24,1,2898,2.898,22
24,1,3083,3.083,22
24,1,3019,3.019,22
24,0,0,0,40
24,0,0,0,11
24,0,0,0,11
24,0,4012,4.012,11
24,0,0,0,11
24,0,189,0.189,11
24,0,2117,2.117,11
24,0,0,0,40
24,1,2766,2.766,11
24,1,3854,3.854,11
24,0,0,0,11
24,1,2543,2.543,11
24,0,0,0,11
24,1,2887,2.887,11
24,0,0,0,50
24,0,2559,2.559,22
24,1,2600,2.6,22
24,1,1907,1.907,22
24,1,1643,1.643,22
24,0,0,0,22
24,1,1756,1.756,22
24,0,0,0,40
24,0,4862,4.862,11
24,0,4278,4.278,11
24,0,3407,3.407,11
24,0,3832,3.832,11
24,0,0,0,11
24,0,137,0.137,11
24,0,73,0.073,50
24,1,1610,1.61,22
24,1,1835,1.835,22
24,0,0,0,22
24,1,2588,2.588,22
24,0,1820,1.82,22
24,1,1477,1.477,22
24,0,0,0,50
24,1,2230,2.23,22
24,0,2111,2.111,22
24,1,2407,2.407,22
24,1,1679,1.679,22
24,1,3503,3.503,22
24,1,1791,1.791,22
24,0,0,0,40
24,0,3512,3.512,11
24,0,0,0,11
24,0,3713,3.713,11
24,0,0,0,11
24,0,3714,3.714,11
24,0,3739,3.739,11
24,0,0,0,50
24,1,1275,1.275,22
24,1,1443,1.443,22
24,1,2172,2.172,22
24,1,3156,3.156,22
24,1,1724,1.724,22
24,0,3141,3.141,22
24,0,0,0,40
24,0,2525,2.525,11
24,0,2838,2.838,11
24,0,2630,2.63,11
24,0,3630,3.63,11
24,1,3335,3.335,11
24,0,0,0,11
26,0,0,0,50
26,1,1199,1.199,22
26,1,1007,1.007,22
26,1,1017,1.017,22
26,1,1352,1.352,22
26,1,2960,2.96,22
26,1,1889,1.889,22
26,0,0,0,40
26,0,3665,3.665,11
26,1,1378,1.378,11
26,1,1642,1.642,11
26,1,2186,2.186,11
26,1,2643,2.643,11
26,1,1771,1.771,11
26,0,0,0,40
26,1,1396,1.396,11
26,1,1420,1.42,11
26,1,2524,2.524,11
26,1,1637,1.637,11
26,1,1525,1.525,11
26,1,1861,1.861,11
26,0,0,0,50
26,1,853,0.853,22
26,1,1015,1.015,22
26,1,1177,1.177,22
26,0,0,0,22
26,1,27,0.027,22
26,1,1187,1.187,22
26,0,0,0,40
26,1,2388,2.388,11
26,1,2957,2.957,11
26,1,3605,3.605,11
26,0,3654,3.654,11
26,1,1294,1.294,11
26,0,1791,1.791,11
26,0,0,0,50
26,0,1048,1.048,22
26,0,969,0.969,22
26,1,746,0.746,22
26,1,810,0.81,22
26,1,715,0.715,22
26,1,1315,1.315,22
26,0,0,0,40
26,1,1781,1.781,11
26,0,1717,1.717,11
26,0,1149,1.149,11
26,1,2238,2.238,11
26,0,1494,1.494,11
26,1,3638,3.638,11
26,0,0,0,50
26,0,1038,1.038,22
26,0,1007,1.007,22
26,1,823,0.823,22
26,1,1079,1.079,22
26,1,784,0.784,22
26,1,1008,1.008,22
26,0,0,0,50
26,0,793,0.793,22
26,0,0,0,22
26,1,994,0.994,22
26,1,1049,1.049,22
26,0,0,0,22
26,1,274,0.274,22
26,0,0,0,40
26,0,2627,2.627,11
26,1,3355,3.355,11
26,1,2771,2.771,11
26,1,1652,1.652,11
26,0,1644,1.644,11
26,1,1509,1.509,11
28,0,0,0,40
28,1,3129,3.129,11
28,1,2258,2.258,11
28,1,2586,2.586,11
28,1,2754,2.754,11
28,1,2283,2.283,11
28,1,3923,3.923,11
28,0,0,0,50
28,1,1572,1.572,22
28,1,1308,1.308,22
28,1,1516,1.516,22
28,1,2549,2.549,22
28,1,1925,1.925,22
28,1,1077,1.077,22
28,0,0,0,50
28,1,1149,1.149,22
28,1,1190,1.19,22
28,1,1990,1.99,22
28,1,1566,1.566,22
28,0,0,0,22
28,1,1330,1.33,22
28,0,0,0,40
28,1,2391,2.391,11
